               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11001,            0.015569,             0.07812,               0.004,               0.175,             0.01493,           0.0039667,            0.073149,           0.0099457,            0.047835,              0.0982,              0.0002,              0.0002
                   1,              0.0953,            0.014252,            0.066025,           0.0051047,             0.22632,            0.050978,           0.0065747,              0.0716,            0.010219,            0.047517,            0.095499,          0.00049901,          0.00049901
                   2,            0.096671,            0.019886,            0.074873,           0.0066044,             0.30263,           0.0052139,          0.00081062,            0.068215,            0.010766,            0.046923,            0.092797,          0.00079683,          0.00079683
                   3,            0.087601,              0.0196,            0.070129,           0.0079216,             0.37763,           0.0091546,           0.0014257,            0.061477,            0.011827,            0.046158,            0.090093,           0.0010935,           0.0010935
                   4,            0.085475,            0.024802,            0.068591,            0.012967,             0.66447,            0.021148,            0.003969,            0.052905,            0.012911,            0.045106,            0.087389,           0.0013889,           0.0013889
                   5,            0.082237,             0.02238,            0.065606,            0.014624,             0.79605,            0.035273,           0.0074909,            0.050235,            0.013148,            0.044312,            0.084683,           0.0016832,           0.0016832
                   6,            0.077631,             0.02613,            0.061677,            0.016559,                0.95,            0.052365,            0.012113,            0.047512,            0.013496,            0.043055,            0.081976,           0.0019762,           0.0019762
                   7,            0.074523,            0.023811,            0.059483,            0.016564,               0.975,             0.11293,            0.023071,              0.0462,            0.013687,            0.042115,            0.079268,           0.0022681,           0.0022681
                   8,            0.072788,            0.025623,            0.055713,            0.014907,                   1,              0.1585,            0.045309,            0.041028,            0.014381,            0.039639,            0.076559,           0.0025588,           0.0025588
                   9,            0.065912,            0.029728,             0.05297,            0.013498,                   1,             0.24369,            0.065365,            0.041848,            0.013684,            0.037536,            0.073848,           0.0028483,           0.0028483
                  10,             0.06653,            0.023984,            0.051594,            0.011728,                   1,             0.31265,            0.095269,            0.044446,             0.01226,            0.034047,            0.071137,           0.0031366,           0.0031366
                  11,             0.06496,            0.029784,            0.047398,             0.17544,             0.63236,             0.40747,             0.13453,            0.045669,            0.011436,            0.031953,            0.068424,           0.0034238,           0.0034238
                  12,            0.064883,            0.023768,            0.043988,             0.15146,             0.42632,             0.46038,             0.16388,            0.040051,            0.011445,            0.029179,             0.06571,           0.0037097,           0.0037097
                  13,            0.063024,            0.021259,            0.040586,             0.15205,             0.63442,             0.25311,            0.068227,            0.049061,            0.010619,            0.027985,            0.062994,           0.0039945,           0.0039945
                  14,            0.059701,            0.024129,            0.039033,             0.13785,             0.89474,             0.18123,            0.057749,            0.041928,            0.011018,            0.026426,            0.060278,            0.004278,            0.004278
                  15,             0.06215,            0.022074,            0.035653,             0.31105,             0.81842,             0.61056,             0.16462,             0.04438,             0.01114,            0.026135,             0.05756,           0.0045604,           0.0045604
                  16,            0.059362,            0.019624,            0.035207,             0.14968,             0.79605,             0.18724,            0.041446,            0.053673,            0.012452,             0.02573,            0.054842,           0.0048416,           0.0048416
                  17,            0.066616,            0.015076,            0.037192,             0.38073,             0.76579,             0.61623,             0.17833,             0.04568,            0.012138,            0.025281,            0.052122,           0.0051216,           0.0051216
                  18,            0.061295,            0.021803,            0.033482,             0.25192,             0.79342,             0.40415,             0.15805,            0.052595,            0.012649,            0.023983,              0.0494,           0.0054004,           0.0054004
                  19,            0.072373,            0.016906,            0.034312,             0.31765,             0.61579,             0.38344,            0.087983,            0.048432,            0.011792,            0.023989,            0.046678,            0.005678,            0.005678
                  20,            0.064388,            0.016758,            0.033771,             0.45035,             0.74211,             0.52147,             0.16911,            0.058013,            0.010972,            0.023469,            0.043954,           0.0059545,           0.0059545
                  21,            0.068418,            0.018291,            0.031408,             0.41138,             0.71711,             0.47313,             0.25051,             0.04459,            0.011086,            0.022835,             0.04123,           0.0062297,           0.0062297
                  22,            0.067108,            0.017121,            0.031835,             0.43132,             0.81579,             0.68489,             0.24121,            0.049472,           0.0098719,            0.022644,            0.038504,           0.0065038,           0.0065038
                  23,            0.064505,            0.018649,            0.030189,               0.364,             0.71842,             0.37897,             0.20607,             0.05259,           0.0098918,            0.022057,            0.035777,           0.0067767,           0.0067767
                  24,            0.069085,            0.016252,            0.031939,             0.45338,             0.88766,             0.61092,             0.34458,            0.042104,           0.0095863,            0.020807,            0.033048,           0.0070484,           0.0070484
                  25,             0.05816,            0.017432,            0.029131,             0.34484,             0.84211,              0.6329,             0.23628,            0.046796,           0.0094928,            0.020409,            0.030319,           0.0073188,           0.0073188
                  26,            0.064993,            0.019002,            0.032665,             0.22213,             0.84211,             0.45141,             0.16014,            0.035707,           0.0093455,            0.020503,            0.027588,           0.0075882,           0.0075882
                  27,            0.057163,            0.018783,            0.030529,             0.16584,             0.58289,             0.35045,             0.12222,            0.048831,           0.0089517,            0.019867,            0.024856,           0.0078563,           0.0078563
                  28,             0.06039,            0.018362,            0.030513,             0.16584,             0.58289,             0.35045,             0.12222,            0.048831,           0.0089517,            0.019867,            0.022123,           0.0081232,           0.0081232
                  29,            0.056892,            0.019392,              0.0272,             0.47502,             0.93565,             0.81738,             0.42292,            0.032716,           0.0092784,            0.020143,            0.019389,            0.008389,            0.008389
                  30,            0.054376,            0.016999,            0.028202,               0.326,             0.92105,             0.75865,             0.33303,            0.039266,           0.0089533,            0.018993,            0.016654,           0.0086535,           0.0086535
                  31,            0.058998,            0.017228,            0.029126,             0.34562,             0.89474,             0.65082,             0.16754,            0.046192,           0.0084057,            0.017708,            0.013917,           0.0089169,           0.0089169
                  32,            0.063955,            0.015072,            0.027249,             0.34562,             0.89474,             0.65082,             0.16754,            0.046192,           0.0084057,            0.017708,            0.011179,           0.0091791,           0.0091791
                  33,            0.060213,            0.015663,            0.027145,              0.4019,             0.93948,             0.72487,             0.29303,             0.04195,           0.0083398,            0.017127,           0.0093466,           0.0093466,           0.0093466
                  34,            0.054464,            0.015423,            0.026552,             0.55587,             0.76447,             0.73443,             0.26252,            0.045588,           0.0080019,            0.017423,           0.0093466,           0.0093466,           0.0093466
                  35,            0.058813,            0.016335,            0.026394,             0.71738,                0.45,             0.29159,            0.092703,            0.050049,           0.0088129,            0.017222,           0.0093268,           0.0093268,           0.0093268
                  36,            0.067467,            0.012951,            0.023605,             0.71738,                0.45,             0.29159,            0.092703,            0.050049,           0.0088129,            0.017222,            0.009307,            0.009307,            0.009307
                  37,            0.061375,            0.014394,            0.025262,             0.25699,             0.98116,             0.38665,             0.19217,            0.035868,           0.0091951,            0.016395,           0.0092872,           0.0092872,           0.0092872
                  38,            0.060319,            0.013546,            0.028272,             0.28058,             0.90324,             0.42366,             0.12351,             0.04511,           0.0089333,            0.018296,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063561,            0.014786,            0.026403,              0.6315,             0.92105,             0.86868,              0.3476,            0.041157,           0.0095794,            0.012384,           0.0092476,           0.0092476,           0.0092476
                  40,            0.066784,            0.017513,            0.024024,              0.6315,             0.92105,             0.86868,              0.3476,            0.041157,           0.0095794,            0.012384,           0.0092278,           0.0092278,           0.0092278
                  41,            0.062063,            0.014967,            0.024512,             0.77816,             0.85468,             0.97445,             0.50425,             0.03927,           0.0094105,            0.011673,            0.009208,            0.009208,            0.009208
                  42,            0.059455,            0.015182,            0.021924,             0.96039,             0.93085,             0.97262,             0.46008,            0.027997,           0.0094667,            0.011514,           0.0091882,           0.0091882,           0.0091882
                  43,             0.04811,             0.01431,            0.020999,             0.98084,             0.89605,             0.95101,             0.49403,            0.047792,           0.0079735,            0.010337,           0.0091684,           0.0091684,           0.0091684
                  44,            0.061048,            0.018603,            0.022057,             0.98084,             0.89605,             0.95101,             0.49403,            0.047792,           0.0079735,            0.010337,           0.0091486,           0.0091486,           0.0091486
                  45,            0.059944,            0.014486,            0.020776,             0.94327,             0.89605,             0.95667,             0.38683,            0.045137,           0.0075109,           0.0096158,           0.0091288,           0.0091288,           0.0091288
                  46,            0.064237,            0.015017,            0.021446,              0.9355,             0.86424,             0.93767,              0.3545,            0.048298,           0.0081346,           0.0087391,            0.009109,            0.009109,            0.009109
                  47,            0.069153,            0.014379,            0.020147,             0.84133,              0.8287,             0.89449,             0.37995,            0.033263,           0.0079776,           0.0082851,           0.0090892,           0.0090892,           0.0090892
                  48,            0.056456,            0.016088,            0.016606,             0.84133,              0.8287,             0.89449,             0.37995,            0.033263,           0.0079776,           0.0082851,           0.0090694,           0.0090694,           0.0090694
                  49,            0.057791,            0.015138,            0.016743,             0.92246,             0.88224,             0.96388,             0.34877,            0.034088,           0.0076885,           0.0076475,           0.0090496,           0.0090496,           0.0090496
                  50,            0.058178,            0.016526,             0.01825,              0.8661,             0.92145,             0.96706,             0.54605,            0.031193,           0.0080642,           0.0070672,           0.0090298,           0.0090298,           0.0090298
                  51,            0.060313,            0.017202,            0.018181,             0.73398,             0.91866,             0.89883,             0.38578,            0.038171,            0.007241,           0.0063185,             0.00901,             0.00901,             0.00901
                  52,            0.052642,            0.015349,            0.014526,             0.73398,             0.91866,             0.89883,             0.38578,            0.038171,            0.007241,           0.0063185,           0.0089902,           0.0089902,           0.0089902
                  53,            0.053772,            0.016374,            0.012796,              0.6006,             0.96221,             0.81529,             0.34771,            0.038153,           0.0071808,           0.0059165,           0.0089704,           0.0089704,           0.0089704
                  54,            0.061232,             0.01599,            0.015307,             0.41513,               0.925,             0.82317,             0.47254,            0.044166,           0.0076286,           0.0054434,           0.0089506,           0.0089506,           0.0089506
                  55,            0.061473,            0.015753,            0.014104,             0.46909,             0.97368,             0.64376,             0.23878,            0.037064,           0.0069622,           0.0067857,           0.0089308,           0.0089308,           0.0089308
                  56,            0.052307,             0.01518,            0.015177,             0.46909,             0.97368,             0.64376,             0.23878,            0.037064,           0.0069622,           0.0067857,            0.008911,            0.008911,            0.008911
                  57,            0.046639,            0.014078,            0.013085,             0.58556,                   1,             0.77521,             0.30749,            0.030522,           0.0069694,           0.0049006,           0.0088912,           0.0088912,           0.0088912
                  58,            0.050624,             0.01507,            0.014353,             0.54082,                0.95,               0.855,              0.3555,             0.03494,           0.0073888,           0.0047103,           0.0088714,           0.0088714,           0.0088714
                  59,            0.052046,            0.014891,            0.015818,             0.70364,             0.94868,             0.91939,             0.35854,            0.034146,           0.0072989,           0.0046414,           0.0088516,           0.0088516,           0.0088516
                  60,            0.051622,            0.013454,            0.012183,             0.70364,             0.94868,             0.91939,             0.35854,            0.034146,           0.0072989,           0.0046414,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048491,             0.01361,            0.014294,             0.81148,               0.925,             0.92086,             0.35426,            0.031344,           0.0073434,           0.0045988,            0.008812,            0.008812,            0.008812
                  62,            0.041977,            0.012759,            0.013536,             0.60708,               0.975,             0.97943,             0.52121,            0.035139,            0.007513,           0.0044757,           0.0087922,           0.0087922,           0.0087922
                  63,            0.052448,             0.01424,            0.017099,              0.4494,               0.975,             0.68088,             0.25021,            0.034879,            0.007712,           0.0040709,           0.0087724,           0.0087724,           0.0087724
                  64,            0.049468,            0.015457,            0.014211,              0.4494,               0.975,             0.68088,             0.25021,            0.034879,            0.007712,           0.0040709,           0.0087526,           0.0087526,           0.0087526
                  65,            0.044485,            0.014285,            0.015971,             0.58632,               0.925,             0.84883,             0.35686,            0.028634,           0.0074003,           0.0041122,           0.0087328,           0.0087328,           0.0087328
                  66,              0.0439,            0.014184,            0.013588,             0.81246,               0.975,             0.99174,             0.50794,            0.030894,           0.0070383,           0.0041268,            0.008713,            0.008713,            0.008713
                  67,            0.047889,            0.012451,            0.013156,             0.72945,             0.88577,              0.9282,             0.41612,            0.038118,           0.0067629,           0.0040315,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046807,            0.014261,            0.011762,             0.72945,             0.88577,              0.9282,             0.41612,            0.038118,           0.0067629,           0.0040315,           0.0086734,           0.0086734,           0.0086734
                  69,            0.044617,            0.012824,            0.010938,             0.90209,             0.92979,              0.9661,             0.46445,            0.035466,           0.0066287,           0.0039753,           0.0086536,           0.0086536,           0.0086536
                  70,             0.04397,            0.011627,            0.013133,             0.72182,             0.94737,             0.86585,             0.33888,            0.034006,           0.0065208,           0.0045188,           0.0086338,           0.0086338,           0.0086338
                  71,            0.048371,            0.016586,            0.016901,             0.75759,             0.96089,             0.94437,             0.55813,            0.027539,           0.0063548,           0.0042246,            0.008614,            0.008614,            0.008614
                  72,            0.049093,            0.012251,            0.012893,             0.75759,             0.96089,             0.94437,             0.55813,            0.027539,           0.0063548,           0.0042246,           0.0085942,           0.0085942,           0.0085942
                  73,            0.047296,            0.014056,             0.01777,             0.92388,             0.96914,             0.96343,             0.50173,            0.023145,           0.0063079,           0.0044752,           0.0085744,           0.0085744,           0.0085744
                  74,            0.041012,            0.015251,            0.012987,              0.7791,                0.95,             0.90782,             0.55088,            0.028587,           0.0065228,           0.0043621,           0.0085546,           0.0085546,           0.0085546
                  75,            0.044495,            0.012988,            0.014545,             0.67927,             0.88422,             0.89936,             0.36837,            0.039924,           0.0068599,           0.0042258,           0.0085348,           0.0085348,           0.0085348
                  76,            0.049442,            0.011932,            0.012415,             0.67927,             0.88422,             0.89936,             0.36837,            0.039924,           0.0068599,           0.0042258,            0.008515,            0.008515,            0.008515
                  77,            0.048475,            0.013432,           0.0092108,             0.80857,             0.98721,             0.98761,             0.40565,            0.035448,           0.0066268,            0.004153,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048428,            0.013292,           0.0089059,             0.73767,                   1,             0.97119,             0.49645,            0.027633,           0.0064616,           0.0041364,           0.0084754,           0.0084754,           0.0084754
                  79,            0.055459,            0.012425,            0.010769,              0.8792,             0.98647,              0.9508,             0.50772,            0.027597,           0.0059409,           0.0043675,           0.0084556,           0.0084556,           0.0084556
                  80,            0.043498,            0.011391,            0.012001,              0.8792,             0.98647,              0.9508,             0.50772,            0.027597,           0.0059409,           0.0043675,           0.0084358,           0.0084358,           0.0084358
                  81,            0.039373,            0.014261,            0.011308,             0.91604,                   1,             0.98024,             0.55356,            0.024294,            0.005912,           0.0043846,            0.008416,            0.008416,            0.008416
                  82,            0.037023,             0.01211,            0.011166,             0.78377,             0.99751,               0.955,             0.60222,            0.024742,           0.0059739,           0.0046217,           0.0083962,           0.0083962,           0.0083962
                  83,            0.040504,            0.012727,           0.0088122,             0.75202,             0.83262,             0.88701,             0.32422,            0.035874,           0.0061693,           0.0042506,           0.0083764,           0.0083764,           0.0083764
                  84,            0.051517,            0.013947,            0.011257,             0.75202,             0.83262,             0.88701,             0.32422,            0.035874,           0.0061693,           0.0042506,           0.0083566,           0.0083566,           0.0083566
                  85,            0.043771,            0.013269,           0.0099052,               0.826,             0.87293,             0.95631,               0.494,            0.029696,           0.0061321,           0.0042396,           0.0083368,           0.0083368,           0.0083368
                  86,             0.04204,            0.012905,           0.0089869,             0.74523,                   1,              0.9095,             0.39796,            0.030615,           0.0060152,           0.0037739,            0.008317,            0.008317,            0.008317
                  87,            0.045963,            0.013487,             0.01078,             0.98281,                   1,               0.995,             0.56996,            0.023654,             0.00582,           0.0037443,           0.0082972,           0.0082972,           0.0082972
                  88,            0.043919,            0.013971,           0.0098698,             0.98281,                   1,               0.995,             0.56996,            0.023654,             0.00582,           0.0037443,           0.0082774,           0.0082774,           0.0082774
                  89,            0.038163,            0.013792,            0.011024,             0.89311,             0.92653,             0.96816,              0.5573,            0.022229,           0.0059333,           0.0036539,           0.0082576,           0.0082576,           0.0082576
                  90,            0.039043,             0.01314,            0.008304,             0.98596,                   1,               0.995,             0.60347,            0.022016,           0.0057371,           0.0036245,           0.0082378,           0.0082378,           0.0082378
                  91,            0.036124,             0.01282,            0.009655,             0.89544,             0.84474,             0.91836,              0.4192,            0.033931,           0.0059495,           0.0035709,            0.008218,            0.008218,            0.008218
